date key,full date,day of week,day num in month,day num overall,day name,day abbrev,weekday flag,week num in year,week num overall,week begin date,week begin date key,month,month num overall,month name,month abbrev,quarter,year,yearmo,fiscal month,fiscal quarter,fiscal year,month end flag,same day year ago
20200502,5/2/2020,6,2,123,Saturday,Sat,n,18,18,4/27/2020,20200427,5,5,May,May,2,2020,202005,11,4,2020,n,5/2/2019
20200503,5/3/2020,7,3,124,Sunday,Sun,n,18,18,4/27/2020,20200427,5,5,May,May,2,2020,202005,11,4,2020,n,5/3/2019
20200504,5/4/2020,1,4,125,Monday,Mon,y,19,19,5/4/2020,20200504,5,5,May,May,2,2020,202005,11,4,2020,n,5/4/2019
20200505,5/5/2020,2,5,126,Tuesday,Tue,y,19,19,5/4/2020,20200504,5,5,May,May,2,2020,202005,11,4,2020,n,5/5/2019
20200506,5/6/2020,3,6,127,Wednesday,Wed,y,19,19,5/4/2020,20200504,5,5,May,May,2,2020,202005,11,4,2020,n,5/6/2019
20200507,5/7/2020,4,7,128,Thursday,Thu,y,19,19,5/4/2020,20200504,5,5,May,May,2,2020,202005,11,4,2020,n,5/7/2019
20200508,5/8/2020,5,8,129,Friday,Fri,y,19,19,5/4/2020,20200504,5,5,May,May,2,2020,202005,11,4,2020,n,5/8/2019
20200509,5/9/2020,6,9,130,Saturday,Sat,n,19,19,5/4/2020,20200504,5,5,May,May,2,2020,202005,11,4,2020,n,5/9/2019
20200510,5/10/2020,7,10,131,Sunday,Sun,n,19,19,5/4/2020,20200504,5,5,May,May,2,2020,202005,11,4,2020,n,5/10/2019
20200511,5/11/2020,1,11,132,Monday,Mon,y,20,20,5/11/2020,20200511,5,5,May,May,2,2020,202005,11,4,2020,n,5/11/2019
20200512,5/12/2020,2,12,133,Tuesday,Tue,y,20,20,5/11/2020,20200511,5,5,May,May,2,2020,202005,11,4,2020,n,5/12/2019
20200513,5/13/2020,3,13,134,Wednesday,Wed,y,20,20,5/11/2020,20200511,5,5,May,May,2,2020,202005,11,4,2020,n,5/13/2019
20200514,5/14/2020,4,14,135,Thursday,Thu,y,20,20,5/11/2020,20200511,5,5,May,May,2,2020,202005,11,4,2020,n,5/14/2019
20200515,5/15/2020,5,15,136,Friday,Fri,y,20,20,5/11/2020,20200511,5,5,May,May,2,2020,202005,11,4,2020,n,5/15/2019
20200516,5/16/2020,6,16,137,Saturday,Sat,n,20,20,5/11/2020,20200511,5,5,May,May,2,2020,202005,11,4,2020,n,5/16/2019
20200517,5/17/2020,7,17,138,Sunday,Sun,n,20,20,5/11/2020,20200511,5,5,May,May,2,2020,202005,11,4,2020,n,5/17/2019
20200518,5/18/2020,1,18,139,Monday,Mon,y,21,21,5/18/2020,20200518,5,5,May,May,2,2020,202005,11,4,2020,n,5/18/2019
20200519,5/19/2020,2,19,140,Tuesday,Tue,y,21,21,5/18/2020,20200518,5,5,May,May,2,2020,202005,11,4,2020,n,5/19/2019
20200520,5/20/2020,3,20,141,Wednesday,Wed,y,21,21,5/18/2020,20200518,5,5,May,May,2,2020,202005,11,4,2020,n,5/20/2019
20200521,5/21/2020,4,21,142,Thursday,Thu,y,21,21,5/18/2020,20200518,5,5,May,May,2,2020,202005,11,4,2020,n,5/21/2019
20200522,5/22/2020,5,22,143,Friday,Fri,y,21,21,5/18/2020,20200518,5,5,May,May,2,2020,202005,11,4,2020,n,5/22/2019
20200523,5/23/2020,6,23,144,Saturday,Sat,n,21,21,5/18/2020,20200518,5,5,May,May,2,2020,202005,11,4,2020,n,5/23/2019
20200524,5/24/2020,7,24,145,Sunday,Sun,n,21,21,5/18/2020,20200518,5,5,May,May,2,2020,202005,11,4,2020,n,5/24/2019
20200525,5/25/2020,1,25,146,Monday,Mon,y,22,22,5/25/2020,20200525,5,5,May,May,2,2020,202005,11,4,2020,n,5/25/2019
20200526,5/26/2020,2,26,147,Tuesday,Tue,y,22,22,5/25/2020,20200525,5,5,May,May,2,2020,202005,11,4,2020,n,5/26/2019
20200527,5/27/2020,3,27,148,Wednesday,Wed,y,22,22,5/25/2020,20200525,5,5,May,May,2,2020,202005,11,4,2020,n,5/27/2019
20200528,5/28/2020,4,28,149,Thursday,Thu,y,22,22,5/25/2020,20200525,5,5,May,May,2,2020,202005,11,4,2020,n,5/28/2019
20200529,5/29/2020,5,29,150,Friday,Fri,y,22,22,5/25/2020,20200525,5,5,May,May,2,2020,202005,11,4,2020,n,5/29/2019
20200530,5/30/2020,6,30,151,Saturday,Sat,n,22,22,5/25/2020,20200525,5,5,May,May,2,2020,202005,11,4,2020,n,5/30/2019
20200531,5/31/2020,7,31,152,Sunday,Sun,n,22,22,5/25/2020,20200525,5,5,May,May,2,2020,202005,11,4,2020,m,5/31/2019
20200601,6/1/2020,1,1,153,Monday,Mon,y,23,23,6/1/2020,20200601,6,6,June,Jun,2,2020,202006,12,4,2020,n,6/1/2019
20200602,6/2/2020,2,2,154,Tuesday,Tue,y,23,23,6/1/2020,20200601,6,6,June,Jun,2,2020,202006,12,4,2020,n,6/2/2019
20200603,6/3/2020,3,3,155,Wednesday,Wed,y,23,23,6/1/2020,20200601,6,6,June,Jun,2,2020,202006,12,4,2020,n,6/3/2019
20200604,6/4/2020,4,4,156,Thursday,Thu,y,23,23,6/1/2020,20200601,6,6,June,Jun,2,2020,202006,12,4,2020,n,6/4/2019
